Avg_Mort,Lat,Lon,Country,Avg_GDP
266,33.93911,67.709953,Afghanistan,1370
101,41.153332,20.168331,Albania,1009
114,28.033886,1.659626,Algeria,13900
297,-11.202692,17.873887,Angola,7576
141,17.060816,-61.796428,Antigua & Barbuda,116
124,-38.416097,-63.616672,Argentina,38200
134,40.069099,45.038189,Armenia,797
66,-25.274398,133.775136,Australia,100000
77,47.516231,14.550072,Austria,35800
139,40.143105,47.576927,Azerbaijan,3738
176,25.03428,-77.39628,Bahamas,1026
77,25.930414,50.637772,Bahrain,2339
149,23.684994,90.356331,Bangladesh,12300
112,13.193887,-59.543198,Barbados,427
222,53.709807,27.953389,Belarus,4546
85,50.503887,4.469936,Belgium,43200
188,17.189877,-88.49765,Belize,136
268,9.30769,2.315834,Benin,659
244,27.514162,90.433601,Bhutan,140
211,-16.489689,-68.119293,Bolivia,2045
106,43.915886,17.679076,Bosnia & Herzegovina,1445
431,-22.328474,24.684866,Botswana,1194
160,-14.235004,-51.92528,Brazil,155000
148,42.733883,25.48583,Bulgaria,4242
295,12.238333,-1.561593,Burkina Faso,818
335,-3.373056,29.918886,Burundi,187
221,12.565679,104.990963,Cambodia,1157
375,7.369722,12.354722,Cameroon,2448
72,56.130366,-106.346771,Canada,139000
492,6.611111,20.939444,Central African Republic,170
391,15.454166,18.732207,Chad,836
94,-35.675147,-71.542969,Chile,18700
92,35.86166,104.195397,China,611000
148,4.570868,-74.297333,Colombia,23500
252,-11.875001,43.872219,Comoros,83
99,9.748917,-83.753428,Costa Rica,3527
110,45.1,15.2,Croatia,4993
103,21.521757,-77.781167,Cuba,6245
66,35.126413,33.429859,Cyprus,2071
437,7.539989,-5.54708,Cote d'Ivoire,2437
85,56.26392,9.501785,Denmark,29000
289,11.825138,42.590275,Djibouti,251
191,18.735693,-70.162651,Dominican Republic,5006
137,-1.831239,-78.183406,Ecuador,6576
172,26.820553,30.802498,Egypt,19000
198,13.794185,-88.89653,El Salvador,1844
342,1.650801,10.267895,Equatorial Guinea,1217
322,15.179384,39.782334,Eritrea,131
165,58.595272,25.013607,Estonia,1905
529,26.5225,31.4659,Eswatini,351
306,9.145,40.489673,Ethiopia,3492
205,-16.578193,179.414413,Fiji,350
89,61.92411,25.748151,Finland,22700
87,46.227638,2.213749,France,237000
292,-0.803689,11.609444,Gabon,1238
283,13.443182,-15.310139,Gambia,120
149,42.315407,43.356892,Georgia,1101
81,51.165691,10.451526,Germany,318000
280,7.946527,-1.023194,Ghana,3172
75,39.074208,21.824312,Greece,23700
161,12.262776,-61.604171,Grenada,79
191,15.783471,-90.230759,Guatemala,4271
305,9.945587,-9.696645,Guinea,632
294,11.803749,-15.180413,Guinea-Bissau,83
266,4.860416,-58.93018,Guyana,208
299,18.971187,-72.285215,Haiti,630
159,15.199999,-86.241905,Honduras,1477
162,47.162494,19.503304,Hungary,11800
59,64.963051,-19.020835,Iceland,1601
201,20.593684,78.96288,India,144000
187,-0.789275,113.921327,Indonesia,59800
120,32.4279,53.688,Iran,34500
176,33.223191,43.679291,Iraq,15100
73,53.41291,-8.24389,Ireland,23200
67,31.046051,34.851612,Israel,22300
62,41.87194,12.56738,Italy,190000
151,18.109581,-77.297508,Jamaica,1255
63,36.204824,138.252924,Japan,494000
120,30.585164,36.238414,Jordan,2416
253,48.019573,66.923684,Kazakhstan,12100
348,-0.023559,37.906193,Kenya,4042
209,-3.370417,-168.734039,Kiribati,14
86,29.31166,47.481766,Kuwait,10700
205,41.20438,74.766098,Kyrgyzstan,470
193,56.879635,24.603189,Latvia,2339
103,33.854721,35.862285,Lebanon,3461
536,-29.609988,28.233608,Lesotho,194
286,6.428055,-9.429499,Liberia,198
139,26.3351,17.228331,Libya,4792
199,55.169438,23.881275,Lithuania,3498
72,49.815273,6.129583,Luxembourg,4839
252,-18.766947,46.869107,Madagascar,897
425,-13.254308,34.301525,Malawi,500
135,4.210484,101.975766,Malaysia,22400
87,3.202778,73.22068,Maldives,251
296,17.570692,-3.996166,Mali,974
61,35.937496,14.375416,Malta,852
216,21.00789,-10.940835,Mauritania,363
160,-20.348404,57.552152,Mauritius,931
132,23.634501,-102.552784,Mexico,102000
243,46.862496,103.846656,Mongolia,684
119,42.708678,19.37439,Montenegro,343
102,31.791702,-7.09262,Morocco,8261
417,-18.665695,35.529562,Mozambique,1133
226,21.9162,95.956,Myanmar,3762
384,22.9576,18.4904,Namibia,927
194,28.394857,84.124008,Nepal,1442
69,52.132633,5.291266,Netherlands,75200
74,-40.900557,174.885971,New Zealand,13900
169,12.865416,-85.207229,Nicaragua,890
275,17.607789,8.081666,Niger,531
386,9.081999,8.675277,Nigeria,30500
68,60.472024,8.468946,Norway,36800
113,21.512583,55.923255,Oman,5121
178,30.375321,69.345116,Pakistan,17900
117,8.537981,-80.782127,Panama,3232
246,-6.314993,143.95555,Papua New Guinea,1315
157,-23.442503,-58.443832,Paraguay,2398
138,-9.189967,-75.015152,Peru,13300
207,12.879721,121.774017,Philippines,19000
134,51.919438,19.145136,Poland,40700
91,39.399872,-8.224454,Portugal,20500
67,25.354826,51.183884,Qatar,10900
156,45.943161,24.96676,Romania,14600
303,-1.940278,29.873888,Rwanda,526
158,13.909444,-60.978893,St. Lucia,130
177,12.984305,-61.287228,St. Vincent & the Grenadines,64
144,-13.759029,-172.104629,Samoa,59
100,23.885942,45.079162,Saudi Arabia,49100
222,14.497401,-14.452362,Senegal,1477
120,44.016521,21.005859,Serbia,3613
180,-4.679574,55.491977,Seychelles,105
452,8.460555,-11.779889,Sierra Leone,271
65,1.352083,103.819836,Singapore,21600
129,48.669026,19.699024,Slovakia,7744
96,46.151241,14.995463,Slovenia,4174
184,-9.64571,160.156194,Solomon Islands,77
335,5.152149,46.199616,Somalia,422
400,-30.559482,22.937506,South Africa,28600
70,40.463667,-3.74922,Spain,121000
148,7.873054,80.771797,Sri Lanka,4948
253,12.862807,30.217636,Sudan,1408
201,3.919305,-56.027783,Suriname,311
62,60.128161,18.643501,Sweden,45400
61,46.818188,8.227512,Switzerland,53200
142,38.861034,71.276093,Tajikistan,488
172,15.870032,100.992541,Thailand,29800
193,-8.874217,125.727539,Timor-Leste,288
311,8.619543,0.824782,Togo,326
146,-21.178986,-175.198242,Tonga,34
187,10.691803,-61.222503,Trinidad & Tobago,1976
101,33.886917,9.537499,Tunisia,3751
122,38.963745,35.243322,Turkey,64600
208,38.969719,59.556278,Turkmenistan,2182
404,1.373333,32.290275,Uganda,1664
239,48.379433,31.16558,Ukraine,10900
87,23.424076,53.847818,United Arab Emirates,27000
121,-32.522779,-55.765835,Uruguay,3588
158,41.377491,64.585262,Uzbekistan,4000
154,-15.376706,166.959158,Vanuatu,60
239,15.552727,48.516388,Yemen,2502
447,-13.133897,27.849332,Zambia,1635
549,-19.015438,29.154857,Zimbabwe,1253
133,14.058324,108.277199,Vietnam,11700
167,6.4238,66.5897,Venezuela,24500
77,55.3781,3.436,United Kingdom,253000
110,37.09024,-95.712891,United States,1490000
